Estado;População
"Região Sudeste	";
São Paulo;43.663.672
Minas Gerais;20.593.366
Rio de Janeiro;16.369.178
Espírito Santo;3.839.363
Região Nordeste;
Bahia;15.044.127
Pernambuco;9.208.551
Ceará;8.778.575
Maranhão;6.794.298
Paraíba;3.914.418
Rio Grande do Norte;3.373.960
Alagoas;3.300.938
Piauí;3.184.165
Sergipe;2.195.662
Região Sul;
Rio Grande do Sul;11.164.050
Paraná;10.997.462
Santa Catarina;6.634.250
Região Norte;
Pará;7.969.655
Amazonas;3.807.923
Rondônia;1.728.214
Tocantins;1.478.163
Acre;776.463
Amapá;734.995
Roraima;488.072
Região Centro-Oeste;
Goiás;6.434.052
Mato Grosso;3.182.114
Distrito Federal;2.789.761
Mato Grosso do Sul;2.587.267
